"utm","x","y"
"NH47",-8.4471259917,43.1263849723
"PH88",-6.72346692888,43.1951149207
"NH57",-8.32419462823,43.1257244826
"PH98",-6.60049461278,43.192599598
"NH67",-8.2012668612,43.1249326665
"QH08",-6.47753958494,43.1899533281
"NH77",-8.07834659767,43.1240097187
"QH18",-6.35460067649,43.1871760358
"NH87",-7.9554310333,43.1229543592
"QH28",-6.23168018362,43.1842667572
"NH97",-7.83252341013,43.121765649
"QH38",-6.10877836743,43.1812244002
"PH07",-7.70962273068,43.1204457238
"QH48",-6.02377092457,43.1783549572
"TN58",-5.97658108282,43.1783546022
"TN68",-5.89157340033,43.1812235137
"TN78",-5.76867164655,43.1842661172
"TN88",-5.64575114559,43.1871768413
"TN98",-5.52281272504,43.1899556316
"UN08",-5.39985721323,43.1926024363
"UN18",-5.27688543925,43.1951172061
"UN28",-5.15389823285,43.1974998941
"UN38",-5.03089642447,43.1997504557
"UN48",-4.90788084516,43.2018688491
"UN58",-4.78485232657,43.2038550346
"UN68",-4.66181170088,43.2057089752
"UN78",-4.53875980082,43.2074306363
"UN88",-4.41569745959,43.2090199856
"UN98",-4.29262551082,43.2104769936
"VN08",-4.16954478857,43.211801633
"VN18",-4.04645612729,43.2129938789
"VN28",-3.92336036174,43.2140537093
"VN38",-3.800258327,43.2149811042
"VN48",-3.67715085842,43.2157760463
"VN58",-3.55403879158,43.2164385207
"VN68",-3.43092296226,43.2169685152
"VN78",-3.30780420639,43.2173660197
"VN88",-3.18468336005,43.2176310268
"VN98",-3.06156125939,43.2177635316
"WN08",-2.93843874061,43.2177635316
"WN18",-2.81531663995,43.2176310268
"WN28",-2.69219579361,43.2173660197
"WN38",-2.56907703774,43.2169685152
"WN48",-2.44596120842,43.2164385207
"WN58",-2.32284914158,43.2157760463
"WN68",-2.199741673,43.2149811042
"WN78",-2.07663963826,43.2140537093
"WN88",-1.95354387271,43.2129938789
"WN98",-1.83045521143,43.211801633
"XN08",-1.70737448918,43.2104769936
"XN18",-1.58430254041,43.2090199856
"XN28",-1.46124019918,43.2074306363
"XN38",-1.33818829912,43.2057089752
"MH76",-9.30725248447,43.0372575814
"PH17",-7.58673126031,43.118993646
"MH86",-9.18449291556,43.0375219749
"PH27",-7.46384983649,43.1174094015
"MH96",-9.06173053441,43.0376541599
"PH37",-7.34097786094,43.1156941092
"NH06",-8.93896983965,43.0376554546
"PH47",-7.21811804775,43.1138456619
"NH16",-8.81620798368,43.0375245669
"PH57",-7.09526924104,43.1118662679
"NH26",-8.69344823195,43.0372605396
"PH67",-6.97243440822,43.10975607
"NH36",-8.57068959988,43.036865507
"PH77",-6.84961222975,43.1075127929
"NH46",-8.44793495706,43.0363396212
"PH87",-6.72680500567,43.1051376487
"NH56",-8.32518308195,43.0356827817
"PH97",-6.60401364499,43.1026307884
"NH66",-8.20243664274,43.034892911
"QH07",-6.48123747517,43.0999932063
"NH76",-8.07969401277,43.0339709847
"QH17",-6.35847877506,43.0972240041
"NH86",-7.95695966232,43.0329183925
"QH27",-6.23573789633,43.0943220847
"NH96",-7.83423083361,43.0317338345
"QH37",-6.11301614207,43.0912886606
"PH06",-7.71151096352,43.0304186123
"QH47",-6.02593269981,43.0884302023
"TN57",-5.97441859157,43.0884305669
"TN67",-5.88733542165,43.0912894788
"TN77",-5.76461322403,43.0943225888
"TN87",-5.64187238118,43.09722423
"TN97",-5.51911371618,43.0999943483
"UN07",-5.39633805292,43.1026328922
"UN17",-5.27354621595,43.1051398126
"UN27",-5.15073903056,43.1075150629
"UN37",-5.02791732267,43.1097585988
"UN47",-4.90508191882,43.1118703785
"UN57",-4.78223364613,43.1138503627
"UN67",-4.6593733323,43.1156985145
"UN77",-4.53650180549,43.1174147995
"UN87",-4.41361989439,43.1189991857
"UN97",-4.29072842809,43.1204516436
"VN07",-4.16782823613,43.121772146
"VN17",-4.04492014839,43.1229606684
"VN27",-3.9220049951,43.1240171886
"VN37",-3.79908360679,43.1249416868
"VN47",-3.67615681426,43.1257341459
"VN57",-3.55322544854,43.1263945511
"VN67",-3.43029034084,43.12692289
"VN77",-3.30735232256,43.1273191529
"VN87",-3.18441222519,43.1275833322
"VN97",-3.06147088034,43.1277154231
"WN07",-2.93852911966,43.1277154231
"WN17",-2.81558777481,43.1275833322
"WN27",-2.69264767744,43.1273191529
"WN37",-2.56970965916,43.12692289
"WN47",-2.44677455146,43.1263945511
"WN57",-2.32384318574,43.1257341459
"WN67",-2.20091639321,43.1249416868
"WN77",-2.0779950049,43.1240171886
"WN87",-1.95507985161,43.1229606684
"WN97",-1.83217176387,43.121772146
"XN07",-1.70927157191,43.1204516436
"XN17",-1.58638010561,43.1189991857
"XN27",-1.46349819451,43.1174147995
"XN37",-1.3406266677,43.1156985145
"XN47",-1.21776635387,43.1138503627
"MH75",-9.30680414542,42.9472082714
"PH16",-7.58879919522,43.0289715342
"MH85",-9.18422309531,42.9474711759
"PH26",-7.46609639586,43.0273926992
"MH95",-9.06164189216,42.9476035331
"PH36",-7.34340444289,43.0256821542
"NH05",-8.93905769125,42.9476040535
"PH46",-7.22072408446,43.0238399915
"NH15",-8.81647639648,42.9474730235
"PH56",-7.09805474283,43.0218672905
"NH25",-8.69389477666,42.9472102361
"PH66",-6.9753986992,43.0197630162
"NH35",-8.57131628493,42.9468169799
"PH76",-6.85275623585,43.0175261458
"NH45",-8.44873972729,42.9462931634
"PH86",-6.73012871541,43.0151578626
"NH55",-8.32616733372,42.9456377752
"PH96",-6.6075154598,43.0126592069
"NH65",-8.20359994005,42.9448508466
"QH06",-6.48491935409,43.0100304701
"NH75",-8.08103737994,42.9439323589
"QH16",-6.36233906849,43.0072692495
"NH85",-7.95848040903,42.942882319
"QH26",-6.23977750611,43.0043757756
"NH95",-7.83593093909,42.9417008387
"QH36",-6.11723347726,43.0013522365
"PH05",-7.71338939304,42.9403890518
"QH46",-6.02808477766,42.9984949791
"TN56",-5.97226577613,42.9984954905
"TN66",-5.88311691065,43.0013536909
"TN76",-5.76057344688,43.0043773349
"TN86",-5.63801143903,43.0072699194
"TN96",-5.51543170573,43.0100313908
"UN06",-5.39283506641,43.0126616978
"UN16",-5.27022234119,43.0151607915
"UN26",-5.14759435088,43.0175286256
"UN36",-5.02495191692,43.019765156
"UN46",-4.9022958614,43.0218703413
"UN56",-4.77962700694,43.0238441421
"UN66",-4.65694617676,43.0256865219
"UN76",-4.53425419453,43.0273974465
"UN86",-4.41155188445,43.0289768839
"UN96",-4.2888400711,43.0304248048
"VN06",-4.16611957953,43.0317411823
"VN16",-4.0433912351,43.0329259919
"VN26",-3.92065586353,43.0339792115
"VN36",-3.79791429085,43.0349008215
"VN46",-3.67516734333,43.0356908048
"VN56",-3.55241584749,43.0363491467
"VN66",-3.42966063003,43.036875835
"VN76",-3.30690251781,43.0372708597
"VN86",-3.18414233782,43.0375342136
"VN96",-3.06138091713,43.0376658918
"WN06",-2.93861908287,43.0376658918
"WN16",-2.81585766218,43.0375342136
"WN26",-2.69309748219,43.0372708597
"WN36",-2.57033936997,43.036875835
"WN46",-2.44758415251,43.0363491467
"WN56",-2.32483265667,43.0356908048
"WN66",-2.20208570915,43.0349008215
"WN76",-2.07934413647,43.0339792115
"WN86",-1.9566087649,43.0329259919
"WN96",-1.83388042047,43.0317411823
"XN06",-1.7111599289,43.0304248048
"XN16",-1.58844811555,43.0289768839
"XN26",-1.46574580547,43.0273974465
"XN36",-1.34305382324,43.0256865219
"XN46",-1.22037299306,43.0238441421
"XN56",-1.0977041386,43.0218703413
"XN66",-0.975048083078,43.019765156
"MH74",-9.30635841963,42.8571580285
"PH15",-7.59085649404,42.9389470148
"MH84",-9.183955066,42.8574194309
"PH25",-7.46833351304,42.9373736286
"MH94",-9.06155054875,42.8575506439
"PH35",-7.3458202979,42.93566894
"NH04",-8.93914709822,42.8575506427
"PH45",-7.22331760418,42.9338329466
"NH14",-8.81674311222,42.8574204293
"PH55",-7.10082734138,42.9318657704
"NH24",-8.69433980489,42.857158928
"PH65",-6.97835032248,42.9297675114
"NH34",-8.57193899612,42.8567662221
"PH75",-6.85588631668,42.9275380737
"NH44",-8.44954173332,42.8562445635
"PH85",-6.73343617913,42.9251775944
"NH54",-8.3271469948,42.8555905471
"PH95",-6.61100170175,42.9226861729
"NH64",-8.20475724621,42.8548053969
"QH05",-6.48858325921,42.9200649352
"NH74",-8.08237352022,42.8538913794
"QH15",-6.36618215462,42.9173128937
"NH84",-7.95999474805,42.852845097
"QH25",-6.24379761919,42.9144288774
"NH94",-7.83762380816,42.8516666904
"QH35",-6.12143252679,42.9114153374
"PH04",-7.71526028597,42.8503594728
"QH45",-6.03022722902,42.9085513617
"TN55",-5.97012269352,42.9085515091
"TN65",-5.87891776175,42.9114161524
"TN75",-5.75655221396,42.9144303575
"TN85",-5.63416822244,42.9173139115
"TN95",-5.51176660143,42.9200667609
"UN05",-5.38934816593,42.9226888547
"UN15",-5.26691373164,42.9251801444
"UN25",-5.14446411494,42.9275405837
"UN35",-5.02200013285,42.9297701288
"UN45",-4.89952260299,42.9318687386
"UN55",-4.77703234358,42.9338363739
"UN65",-4.65453017334,42.9356729984
"UN75",-4.53201691152,42.9373785779
"UN85",-4.40949337783,42.9389530809
"UN95",-4.28696039242,42.940396478
"VN05",-4.16441877583,42.9417087424
"VN15",-4.04186934898,42.9428898499
"VN25",-3.91931293312,42.9439397785
"VN35",-3.79675034978,42.9448585087
"VN45",-3.67418242076,42.9456460233
"VN55",-3.5516099681,42.9463023079
"VN65",-3.429033814,42.9468273502
"VN75",-3.30645478086,42.9472211405
"VN85",-3.18387369116,42.9474836714
"VN95",-3.0612913675,42.9476149381
"WN05",-2.9387086325,42.9476149381
"WN15",-2.81612630884,42.9474836714
"WN25",-2.69354521914,42.9472211405
"WN35",-2.570966186,42.9468273502
"WN45",-2.4483900319,42.9463023079
"WN55",-2.32581757924,42.9456460233
"WN65",-2.20324965022,42.9448585087
"WN75",-2.08068706688,42.9439397785
"WN85",-1.95813065102,42.9428898499
"WN95",-1.83558122417,42.9417087424
"XN05",-1.71303960758,42.940396478
"XN15",-1.59050662217,42.9389530809
"XN25",-1.46798308848,42.9373785779
"XN35",-1.34546982666,42.9356729984
"XN45",-1.22296765642,42.9338363739
"XN55",-1.10047739701,42.9318687386
"XN65",-0.977999867154,42.9297701288
"XN75",-0.855535885063,42.9275405837
"XN85",-0.733086268362,42.9251801444
"XN95",-0.610651834072,42.9226888547
"PH14",-7.59290484719,42.8489212455
"MH83",-9.18368882064,42.7673667446
"PH24",-7.47055929729,42.8473521124
"MH93",-9.0614621994,42.7674969023
"PH34",-7.34822400829,42.8456531912
"NH03",-8.93923462267,42.7674961479
"PH44",-7.22590023806,42.8438234816
"PH54",-7.10358716867,42.8418617624
"NH13",-8.8170081332,42.7673667903
"PH64",-6.98128730215,42.8397693565
"CH34",0.981287258968,42.8397693231
"NH23",-8.69478332278,42.7671066138
"PH74",-6.85900155366,42.8375485317
"CH24",0.859001599853,42.8375485418
"NH33",-8.57256000413,42.7667155809
"PH84",-6.73672895262,42.8351958817
"CH14",0.736729189507,42.8351958856
"NH43",-8.45033859124,42.7661948032
"PH94",-6.61447243962,42.8327116087
"CH04",0.614472676436,42.8327116128
"NH53",-8.32812272703,42.7655422452
"QH04",-6.49223088646,42.8300978865
"NH63",-8.20591039625,42.7647599861
"QH14",-6.37000708304,42.8273548966
"NH73",-8.08370242076,42.7638480873
"QH24",-6.2477997344,42.8244803396
"NH83",-7.9615030311,42.7628056443
"QH34",-6.12561123075,42.8214755243
"NH93",-7.83930797888,42.7616323946
"QH44",-6.03236018478,42.8185998922
"PH03",-7.71712114023,42.7603285685
"TN54",-5.96798923754,42.8186001298
"TN64",-5.8747378702,42.8214768654
"TN74",-5.75254942491,42.8244816588
"TN84",-5.63034263546,42.8273562082
"TN94",-5.50811831174,42.8301004604
"UN04",-5.38587726435,42.8327143646
"UN14",-5.2636203046,42.8351978726
"UN24",-5.14134824449,42.8375509384
"UN34",-5.01906189663,42.8397735184
"UN44",-4.89676207424,42.8418655716
"UN54",-4.77444959112,42.8438270592
"UN64",-4.65212526158,42.8456579449
"UN74",-4.52978990044,42.8473581948
"UN84",-4.407444323,42.8489277775
"UN94",-4.28508934496,42.8503666638
"VN04",-4.16272578245,42.8516748271
"VN14",-4.04035445194,42.8528522431
"VN24",-3.91797617023,42.8538988901
"VN34",-3.79559175442,42.8548147487
"VN44",-3.67320202187,42.8555998019
"VN54",-3.55080779015,42.8562540351
"VN64",-3.42840987704,42.8567774362
"VN74",-3.30600910047,42.8571699955
"VN84",-3.18360627847,42.8574317058
"VN94",-3.06120222919,42.8575625621
"WN04",-2.93879777081,42.8575625621
"WN14",-2.81639372153,42.8574317058
"WN24",-2.69399089953,42.8571699955
"WN34",-2.57159012296,42.8567774362
"WN44",-2.44919220985,42.8562540351
"WN54",-2.32679797813,42.8555998019
"WN64",-2.20440824558,42.8548147487
"WN74",-2.08202382977,42.8538988901
"WN84",-1.95964554806,42.8528522431
"WN94",-1.83727421755,42.8516748271
"XN04",-1.71491065504,42.8503666638
"XN14",-1.592555677,42.8489277775
"XN24",-1.47021009956,42.8473581948
"XN34",-1.34787473842,42.8456579449
"XN44",-1.22555040888,42.8438270592
"XN54",-1.10323792576,42.8418655716
"XN64",-0.98093810337,42.8397735184
"XN74",-0.85865175551,42.8375509384
"XN84",-0.736379695397,42.8351978726
"XN94",-0.614122735653,42.8327143646
"YN04",-0.49188168826,42.8301004604
"YN14",-0.369657364536,42.8273562082
"YN24",-0.247450575091,42.8244816588
"YN34",-0.125262129801,42.8214768654
"PH13",-7.59494436974,42.7588942531
"PH23",-7.47277600275,42.7573304692
"PH33",-7.35061725361,42.7556361787
"CH63",1.35061729981,42.7556361887
"MH92",-9.06137278186,42.6774420967
"PH43",-7.22846994817,42.7538114618
"CH53",1.22847004637,42.7538114349
"NH02",-8.93932290125,42.6774418269
"PH53",-7.10633489596,42.7518564265
"CH43",1.1063348961,42.7518564265
"NH12",-8.8172724773,42.6773121633
"PH63",-6.98421195014,42.7497709728
"CH33",0.984211851956,42.7497709994
"NH22",-8.69522434346,42.6770532342
"PH73",-6.86210143161,42.7475563252
"CH23",0.862101477675,42.7475563353
"NH32",-8.5731766892,42.6766637962
"PH83",-6.74000705027,42.7452104635
"CH13",0.740007293095,42.7452104208
"NH42",-8.45113435949,42.6761441083
"PH93",-6.61792676131,42.7427354863
"CH03",0.617926997995,42.7427354905
"NH52",-8.32909309441,42.675493899
"QH03",-6.49586181399,42.740130368
"BH93",0.495862050595,42.7401303723
"NH62",-8.2070573371,42.6747145393
"QH13",-6.37381397482,42.7373952611
"BH83",0.373814070098,42.7373952582
"NH72",-8.08502733763,42.6738048819
"QH23",-6.25178405861,42.734530209
"BH73",0.251784065324,42.7345301624
"NH82",-7.96300186611,42.6727648648
"QH33",-6.12977134016,42.7315340514
"BH63",0.129771238336,42.7315341006
"NH92",-7.84098536615,42.6715958496
"QH43",-6.0344832538,42.7286415928
"BH53",0.0344831438412,42.7286415783
"PH02",-7.71897543767,42.6702954311
"TN53",-5.96586546771,42.7286425205
"TN63",-5.87057713204,42.7315358323
"TN73",-5.74856498014,42.734531241
"TN83",-5.62653458289,42.7373968115
"TN93",-5.50448674584,42.7401324911
"UN03",-5.38242227523,42.7427382292
"UN13",-5.26034197804,42.7452139778
"UN23",-5.13824666189,42.7475596912
"UN33",-5.01613713504,42.7497753261
"UN43",-4.89401420632,42.7518608415
"UN53",-4.77187868516,42.753816199
"UN63",-4.64973138149,42.7556413624
"UN73",-4.52757310575,42.7573362979
"UN83",-4.40540466882,42.7589009744
"UN93",-4.28322688205,42.7603353629
"VN03",-4.16104055713,42.7616394368
"VN13",-4.03884650614,42.762813172
"VN23",-3.91664554149,42.7638565469
"VN33",-3.79443847585,42.7647695421
"VN43",-3.67222612217,42.7655521408
"VN53",-3.55000929363,42.7662043286
"VN63",-3.42778880357,42.7667260932
"VN73",-3.30556546552,42.7671174251
"VN83",-3.18334009308,42.7673783171
"VN93",-3.06111349999,42.7675087643
"WN03",-2.93888650001,42.7675087643
"WN13",-2.81665990692,42.7673783171
"WN23",-2.69443453448,42.7671174251
"WN33",-2.57221119643,42.7667260932
"WN43",-2.44999070637,42.7662043286
"WN53",-2.32777387783,42.7655521408
"WN63",-2.20556152415,42.7647695421
"WN73",-2.08335445851,42.7638565469
"WN83",-1.96115349386,42.762813172
"WN93",-1.83895944287,42.7616394368
"XN03",-1.71677311795,42.7603353629
"XN13",-1.59459533118,42.7589009744
"XN23",-1.47242689425,42.7573362979
"XN33",-1.35026861851,42.7556413624
"XN43",-1.22812131484,42.753816199
"XN53",-1.10598579368,42.7518608415
"XN63",-0.983862864963,42.7497753261
"XN73",-0.861753338106,42.7475596912
"XN83",-0.739658021956,42.7452139778
"XN93",-0.617577724767,42.7427382292
"YN03",-0.495513254164,42.7401324911
"YN13",-0.373465417106,42.7373968115
"YN23",-0.251435019859,42.734531241
"YN33",-0.129422867956,42.7315358323
"YN43",-0.0341345482474,42.7286425414
"PH12",-7.5969734372,42.6688648157
"PH22",-7.47498141512,42.6673063819
"CH72",1.47498134871,42.6673063437
"PH32",-7.35300002199,42.6656178607
"CH62",1.35299983489,42.6656178447
"MH91",-9.0612847147,42.5873852416
"PH42",-7.23102836669,42.66379815
"CH52",1.23102831191,42.6637982101
"NH01",-8.93940969495,42.5873853326
"PH52",-7.10906951371,42.6618496255
"CH42",1.10906942151,42.6618496055
"NH11",-8.81753615788,42.5872565461
"PH62",-6.98712223619,42.6597722476
"CH32",0.98712209202,42.6597722642
"NH21",-8.69566288039,42.5869987847
"PH72",-6.86518917544,42.6575639323
"CH22",0.86518922761,42.6575638958
"NH31",-8.57379249235,42.5866099541
"PH82",-6.74326921175,42.6552246134
"CH12",0.743269211876,42.6552246133
"NH41",-8.45192336843,42.5860910397
"PH92",-6.62136482715,42.652757795
"CH02",0.621364778127,42.6527578082
"NH51",-8.33005993779,42.5854434096
"QH02",-6.49947663761,42.650161329
"BH92",0.499476778748,42.6501613363
"NH61",-8.20819938581,42.5846657406
"QH12",-6.37760391589,42.6474340305
"BH82",0.377604056947,42.6474340379
"NH71",-8.08634514682,42.5837593584
"QH22",-6.25574965723,42.6445783748
"BH72",0.25574956201,42.6445783774
"NH81",-7.9644964202,42.5827230668
"QH32",-6.13391248252,42.6415919955
"BH62",0.133912338031,42.6415920112
